id,test_id,persona_id,persona_type,model,run_number,ab_order,raw_response,parsed_choice,prompt_tokens,completion_tokens,response_time_ms,timestamp,status,error_message
5,UI-10,D-16,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,308,9,3512,2026-05-22 14:16:20,completed,
6,UI-10,D-16,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,308,9,3520,2026-05-22 14:16:20,completed,
9,UI-10,D-17,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,306,9,364,2026-05-22 14:16:21,completed,
13,UI-10,D-17,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,306,9,418,2026-05-22 14:16:21,completed,
20,UI-10,D-18,demographic,llama-3.3-70b,2,swapped,"{
  ""choice"": ""B""
}",A,306,9,232,2026-05-22 14:16:21,completed,
21,UI-10,D-18,demographic,llama-3.3-70b,1,original,"{
  ""choice"": ""A""
}",A,306,9,255,2026-05-22 14:16:21,completed,
35,UI-10,D-16,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,266,6,6947,2026-05-22 14:16:24,completed,
36,UI-10,D-16,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,266,6,7200,2026-05-22 14:16:24,completed,
41,UI-10,D-17,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,265,6,816,2026-05-22 14:16:25,completed,
45,UI-10,D-17,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,265,6,1178,2026-05-22 14:16:25,completed,
46,UI-10,D-17,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,265,6,766,2026-05-22 14:16:25,completed,
51,UI-10,D-18,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,265,6,661,2026-05-22 14:16:26,completed,
52,UI-10,D-18,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,265,6,797,2026-05-22 14:16:26,completed,
62,UI-10,D-19,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,266,6,805,2026-05-22 14:16:28,completed,
63,UI-10,D-19,demographic,gpt-4o,2,swapped,"{""choice"": ""B""}",A,266,6,705,2026-05-22 14:16:28,completed,
68,UI-10,D-19,demographic,gpt-4o,3,swapped,"{""choice"": ""B""}",A,266,6,1013,2026-05-22 14:16:29,completed,
69,UI-10,D-20,demographic,gpt-4o,1,original,"{""choice"": ""A""}",A,265,6,553,2026-05-22 14:16:29,completed,
73,UI-10,D-20,demographic,gpt-4o,2,swapped,"{""choice"": ""A""}",B,265,6,679,2026-05-22 14:16:29,completed,
