id,test_id,model,run_number,ab_order,choice,prompt_tokens,completion_tokens,timestamp,raw_response
1,REC-11,llama-3.3-70b,7,original,A,195,7,2026-05-22 17:23:17,
2,REC-11,llama-3.3-70b,6,swapped,A,195,7,2026-05-22 17:23:17,
3,COPY-08,gpt-4o,1,swapped,A,204,6,2026-05-22 17:23:17,
4,UI-10,gpt-4o,11,swapped,B,214,6,2026-05-22 17:23:17,
5,COPY-08,gpt-4o,2,original,A,204,6,2026-05-22 17:23:19,
6,UI-10,gpt-4o,12,original,A,214,6,2026-05-22 17:23:19,
7,REC-11,llama-3.3-70b,8,original,A,195,7,2026-05-22 17:23:19,
8,REC-11,llama-3.3-70b,7,swapped,A,195,7,2026-05-22 17:23:19,
9,COPY-08,gpt-4o,2,swapped,A,204,6,2026-05-22 17:23:20,
10,UI-10,gpt-4o,12,swapped,A,214,6,2026-05-22 17:23:20,
11,REC-11,llama-3.3-70b,8,swapped,A,195,7,2026-05-22 17:23:21,
12,UI-10,gpt-4o,13,original,A,214,6,2026-05-22 17:23:21,
13,COPY-08,gpt-4o,3,original,A,204,6,2026-05-22 17:23:21,
14,REC-11,llama-3.3-70b,9,original,A,195,7,2026-05-22 17:23:22,
15,COPY-08,gpt-4o,3,swapped,A,204,6,2026-05-22 17:23:22,
16,REC-11,llama-3.3-70b,9,swapped,A,195,7,2026-05-22 17:23:22,
17,UI-10,gpt-4o,14,original,A,214,6,2026-05-22 17:23:24,
18,REC-11,llama-3.3-70b,10,original,A,195,7,2026-05-22 17:23:24,
19,REC-11,llama-3.3-70b,10,swapped,A,195,7,2026-05-22 17:23:25,
20,COPY-08,gpt-4o,4,original,A,204,6,2026-05-22 17:23:25,
21,REC-11,llama-3.3-70b,11,original,A,195,7,2026-05-22 17:23:26,
22,UI-10,gpt-4o,14,swapped,B,214,6,2026-05-22 17:23:26,
23,UI-10,gpt-4o,13,swapped,B,214,6,2026-05-22 17:23:27,
24,REC-11,llama-3.3-70b,12,original,A,195,7,2026-05-22 17:23:27,
25,COPY-08,gpt-4o,4,swapped,A,204,6,2026-05-22 17:23:28,
26,REC-11,llama-3.3-70b,11,swapped,A,195,7,2026-05-22 17:23:28,
27,UI-10,gpt-4o,15,original,A,214,6,2026-05-22 17:23:29,
28,COPY-08,gpt-4o,5,original,A,204,6,2026-05-22 17:23:29,
29,REC-11,llama-3.3-70b,12,swapped,A,195,7,2026-05-22 17:23:29,
30,REC-11,llama-3.3-70b,13,original,A,195,7,2026-05-22 17:23:30,
31,UI-10,gpt-4o,15,swapped,B,214,6,2026-05-22 17:23:30,
32,UI-10,gpt-4o,16,original,A,214,6,2026-05-22 17:23:31,
33,REC-11,llama-3.3-70b,14,original,A,195,7,2026-05-22 17:23:31,
34,REC-11,llama-3.3-70b,13,swapped,A,195,7,2026-05-22 17:23:32,
35,COPY-08,gpt-4o,6,original,A,204,6,2026-05-22 17:23:32,
36,COPY-08,gpt-4o,5,swapped,A,204,6,2026-05-22 17:23:33,
37,UI-10,gpt-4o,16,swapped,B,214,6,2026-05-22 17:23:33,
38,REC-11,llama-3.3-70b,14,swapped,A,195,7,2026-05-22 17:23:34,
39,REC-11,llama-3.3-70b,15,original,A,195,7,2026-05-22 17:23:34,
40,COPY-08,gpt-4o,6,swapped,A,204,6,2026-05-22 17:23:34,
41,UI-10,gpt-4o,17,original,A,214,6,2026-05-22 17:23:34,
42,COPY-08,gpt-4o,7,original,A,204,6,2026-05-22 17:23:36,
43,UI-10,gpt-4o,17,swapped,A,214,6,2026-05-22 17:23:36,
44,REC-11,llama-3.3-70b,15,swapped,A,195,7,2026-05-22 17:23:36,
45,COPY-08,gpt-4o,7,swapped,A,204,6,2026-05-22 17:23:37,
46,REC-11,llama-3.3-70b,16,original,A,195,7,2026-05-22 17:23:37,
47,COPY-08,gpt-4o,8,original,A,204,6,2026-05-22 17:23:38,
48,REC-11,llama-3.3-70b,16,swapped,A,195,7,2026-05-22 17:23:39,
49,UI-10,gpt-4o,18,original,A,214,6,2026-05-22 17:23:39,
50,UI-10,gpt-4o,18,swapped,B,214,6,2026-05-22 17:23:39,
51,REC-11,llama-3.3-70b,17,original,A,195,7,2026-05-22 17:23:39,
52,COPY-08,gpt-4o,8,swapped,A,204,6,2026-05-22 17:23:40,
53,UI-10,gpt-4o,19,original,A,214,6,2026-05-22 17:23:40,
54,REC-11,llama-3.3-70b,17,swapped,A,195,7,2026-05-22 17:23:41,
55,COPY-08,gpt-4o,9,original,A,204,6,2026-05-22 17:23:42,
56,REC-11,llama-3.3-70b,18,original,A,195,7,2026-05-22 17:23:42,
