image_no,image_id,filename,source,url,date_captured,test_case_ids,element_type,screen_type,status,notes
1,IMG_001,amazon_cross_sell_compare_similar_items_table.png.png,Amazon,https://www.amazon.com,2026-05-22,"REC-03,REC-07",cross_sell_comparison_table,desktop,OK,"Amazon product detail page showing a brand comparison chart with multiple product options, ratings, prices, feature rows, and add-to-cart buttons for comparison-based cross-selling"
2,IMG_002,amazon_cross_sell_customers_also_bought_carousel.png.jpg,Amazon,https://www.amazon.com,2026-05-22,"REC-03,REC-07",customers_also_viewed_carousel,desktop,OK,"Amazon recommendation carousel showing customers who viewed items in browsing history also viewed related products, including product images, titles, ratings, prices, delivery cues, and scarcity signals"
3,IMG_003,amazon_cross_sell_frequently_bought_together_3_items.png.jpg,Amazon,https://www.amazon.com,2026-05-22,"REC-03,REC-07",frequently_bought_together,desktop,OK,"Amazon frequently bought together module showing a three-item bundle, selected checkboxes, combined total price, and Add all 3 to Cart CTA for bundle upsell"
4,IMG_004,amazon_filter_sidebar_collapsed_see_more.png.jpg,Amazon,https://www.amazon.com,2026-05-22,"UI-03,REC-03",filter_sidebar_collapsed,desktop,OK,Amazon search results filter sidebar in collapsed state showing popular shopping ideas and a See more control for progressive filter disclosure
5,IMG_005,amazon_filter_sidebar_full_expanded.png.jpg,Amazon,https://www.amazon.com,2026-05-22,"UI-03,REC-03",filter_sidebar_expanded,desktop,OK,"Amazon full search filter sidebar showing customer reviews, brand filters, price range slider, deals and discounts, color options, features, condition, power source, and connectivity filters"
6,IMG_006,amazon_mobile_cart_checkout_preview.png,Amazon,https://www.amazon.com,2026-05-22,"UI-10,COPY-05",mobile_cart_checkout,mobile,OK,"Amazon mobile cart page showing subtotal, Proceed to checkout CTA, cart items, quantity controls, delete/save-for-later actions, and compare-with-similar-items option"
7,IMG_007,amazon_mobile_product_page_layout.png,Amazon,https://www.amazon.com,2026-05-22,"UI-03,COPY-05",mobile_product_page,mobile,OK,"Amazon mobile product page showing product title, store link, rating, review count, Overall Pick badge, purchase-history social proof, product image carousel, wishlist icon, and share action"
8,IMG_008,amazon_product_amazons_choice_badge.png.png,Amazon,https://www.amazon.com,2026-05-22,"REC-07,COPY-05",product_badge_social_proof,desktop,OK,"Amazon product detail page showing product title, ratings, sustainability signal, purchase-history count, discount badge, price, color variations, Add to Cart and Buy Now CTAs, and Amazon's Choice badge"
9,IMG_009,amazon_product_description_bullet_points.png.png,Amazon,https://www.amazon.com,2026-05-22,COPY-08,product_description_bullets,desktop,OK,"Amazon product detail page showing About this item bullet-point copy for sandals, with benefit-led headings and descriptive claims about comfort, use cases, support, grip, and styling"
10,IMG_010,amazon_product_description_paragraph_format.png.png,Amazon,https://www.amazon.com,2026-05-22,COPY-08,product_description_detailed_bullets,desktop,OK,"Amazon product detail page showing expanded About this item copy for a wireless mouse, with feature-led paragraphs covering multi-device connection, ergonomic comfort, battery life, silent click, adjustable DPI, compatibility, and support"
